ID_GPS	Fecha	Xlocal	Ylocal	X	Y	Altura elipsoidal	id_suelo_raiz	Nº	Marco	COD	GLUC	FOSF	N	P	K	C	pH	COND	Arena	Limo	Arcilla
GPS0226	10/07/2016 10:07	488513,259	4457838,343	7,9875	4,1808	764,3332	S112	112	Regular	R51	0,104057450	0,629322920	0,394298630	0,074321504	0,011446751	1,086934844	8,25	102,2	40,9879039	48,29888147	10,71321463
GPS0225	10/07/2016 10:07	488512,462	4457837,744	7,1905	3,582	764,3006	S113	113	Regular	R52	0,186493261	0,599910821	0,434219909	0,083413212	0,012597531	1,001601088	8,11	99,8	36,05405165	49,83122738	14,11472097
GPS0224	10/07/2016 10:07	488511,6874	4457837,229	6,4159	3,0671	764,2194	S114	114	Regular	R53	0,250936782	0,242399732	0,658871328	0,126801288	0,012237604	0,938247595	8,29	82,8	31,5523634	55,00543949	13,44219711
GPS0219	10/07/2016 10:05	488510,822	4457836,713	5,5505	2,5514	764,2125	S115	115	Regular	R54	0,653143874	0,308633500	0,425480450	0,058213872	0,011060310	1,094415009	8,15	86,1	39,1925521	50,5943652	10,2130827
GPS0218	10/07/2016 10:05	488510,552	4457836,552	5,2805	2,3902	764,23	S116	116	Fino	F26	0,723427540	0,459817209	0,530421555	0,076547675	0,009752413	1,615486790	8,12	102,1	40,56573378	48,54622418	10,88804204
GPS0217	10/07/2016 10:05	488510,3509	4457836,425	5,0794	2,2634	764,2384	S117	117	Fino	F27	1,209004376	0,978764913	0,233370564	0,016760086	0,013577411	2,157713463	8,03	124,9	36,80030215	52,2811344	10,91856345
GPS0212	10/07/2016 10:03	488510,1366	4457836,288	4,8651	2,1266	764,1913	S118	118	Fino	F28	2,637410692	1,576148614	1,238261943	0,113475457	0,012446626	3,111028829	7,89	173,2	33,06085276	46,22766196	20,71148528
GPS0211	10/07/2016 10:03	488509,9534	4457836,172	4,6819	2,0104	764,1339	S119	119	Regular	R55	1,670667731	0,819266498	1,261291863	0,192992280	0,008625834	1,608801511	8,06	119,3	35,79023388	50,05499694	14,15476918
GPS0208	10/07/2016 10:02	488509,1067	4457835,565	3,8352	1,4028	764,0759	S120	120	Regular	R56	0,473380127	0,394379178	0,944486064	0,168011685	0,009910695	1,135957747	8,09	105,6	36,18387434	53,25490457	10,56122109
GPS0220	10/07/2016 10:06	488510,7124	4457836,311	5,4409	2,1496	764,2553	S121	121	Fino	F29	0,384902340	0,494981291	0,431401905	0,101929911	0,007443384	1,107031788	8,14	103,0	38,25006109	50,42432186	11,32561704
GPS0221	10/07/2016 10:06	488510,5109	4457836,202	5,2394	2,0404	764,2924	S122	122	Fino	F30	0,911550788	0,703812191	0,521484475	0,109708806	0,010691169	1,156281039	8,19	109,2	41,58066057	48,4018975	10,01744193
GPS0213	10/07/2016 10:04	488510,2682	4457836,095	4,9967	1,9337	764,2933	S123	123	Fino	F31	0,605402227	0,812610016	0,991203230	0,142056917	0,012142775	1,689788397	8,08	123,3	35,89460919	46,28706868	17,81832213
GPS0229	10/07/2016 10:08	488515,5978	4457839,241	10,3263	5,0792	764,5283	S124	124	Borde	B22	0,217322892	0,596256207	0,177132213	0,054725392	0,010044804	0,882761291	8,19	97,6	37,89371938	43,96546935	18,14081127
GPS0230	10/07/2016 10:09	488514,8111	4457838,713	9,5396	4,5513	764,5291	S125	125	Aleatorio	A16	0,364303033	0,517378890	0,431914402	0,079028740	0,013648234	1,019990327	8,17	99,1	40,23071457	48,38455389	11,38473154
